ENSP00000371847.2,ENST00000382410.3,ENSG00000178591.7,DEFB125
ENSP00000506278.1,ENST00000679944.1,ENSG00000125875.16,TBC1D20
ENSP00000506155.1,ENST00000681636.1,ENSG00000125875.16,TBC1D20
ENSP00000505500.1,ENST00000680106.1,ENSG00000125875.16,TBC1D20
ENSP00000505464.1,ENST00000680050.1,ENSG00000125875.16,TBC1D20
ENSP00000506122.1,ENST00000681742.1,ENSG00000125875.16,TBC1D20
ENSP00000506650.1,ENST00000680515.1,ENSG00000125875.16,TBC1D20
ENSP00000217244.3,ENST00000217244.9,ENSG00000101266.20,CSNK2A1
ENSP00000496569.1,ENST00000646561.1,ENSG00000101266.20,CSNK2A1
ENSP00000495248.1,ENST00000643660.1,ENSG00000101266.20,CSNK2A1
ENSP00000495998.1,ENST00000645623.1,ENSG00000101266.20,CSNK2A1
ENSP00000481572.1,ENST00000619801.5,ENSG00000101266.20,CSNK2A1
ENSP00000383086.3,ENST00000400227.8,ENSG00000101266.20,CSNK2A1
ENSP00000339247.6,ENST00000349736.10,ENSG00000101266.20,CSNK2A1
ENSP00000493697.1,ENST00000645910.1,ENSG00000101266.20,CSNK2A1
ENSP00000494445.1,ENST00000645840.1,ENSG00000101266.20,CSNK2A1
ENSP00000495902.1,ENST00000646305.1,ENSG00000101266.20,CSNK2A1
ENSP00000493931.1,ENST00000645260.1,ENSG00000101266.20,CSNK2A1
ENSP00000495414.1,ENST00000642689.1,ENSG00000101266.20,CSNK2A1
ENSP00000494288.1,ENST00000645234.1,ENSG00000101266.20,CSNK2A1
ENSP00000495422.1,ENST00000646814.1,ENSG00000101266.20,CSNK2A1
ENSP00000496146.1,ENST00000644885.1,ENSG00000101266.20,CSNK2A1
ENSP00000495439.1,ENST00000646477.1,ENSG00000101266.20,CSNK2A1
ENSP00000493791.1,ENST00000644710.1,ENSG00000101266.20,CSNK2A1
ENSP00000495387.1,ENST00000644003.1,ENSG00000101266.20,CSNK2A1
ENSP00000496152.1,ENST00000645249.1,ENSG00000101266.20,CSNK2A1
ENSP00000494370.1,ENST00000647026.1,ENSG00000101266.20,CSNK2A1
ENSP00000383076.2,ENST00000400217.7,ENSG00000101266.20,CSNK2A1
ENSP00000495912.1,ENST00000647348.1,ENSG00000101266.20,CSNK2A1
ENSP00000494038.1,ENST00000643600.1,ENSG00000101266.20,CSNK2A1
ENSP00000493704.1,ENST00000643680.1,ENSG00000101266.20,CSNK2A1
ENSP00000477147.2,ENST00000460062.7,ENSG00000101266.20,CSNK2A1
ENSP00000495139.1,ENST00000643968.1,ENSG00000101266.20,CSNK2A1
ENSP00000495079.1,ENST00000644177.1,ENSG00000101266.20,CSNK2A1
ENSP00000476547.2,ENST00000609525.2,ENSG00000101266.20,CSNK2A1
ENSP00000495942.1,ENST00000645091.1,ENSG00000101266.20,CSNK2A1
ENSP00000476486.2,ENST00000608066.6,ENSG00000101266.20,CSNK2A1
ENSP00000493643.1,ENST00000646908.1,ENSG00000101266.20,CSNK2A1
ENSP00000496232.1,ENST00000645187.1,ENSG00000101266.20,CSNK2A1
ENSP00000496115.1,ENST00000642160.1,ENSG00000101266.20,CSNK2A1
ENSP00000493474.1,ENST00000643910.1,ENSG00000101266.20,CSNK2A1
ENSP00000246080.3,ENST00000246080.4,ENSG00000125878.7,TCF15
ENSP00000371388.4,ENST00000381962.4,ENSG00000271303.3,SRXN1
ENSP00000474279.1,ENST00000488788.2,ENSG00000270299.1,ENSG00000270299
ENSP00000246104.5,ENST00000246104.7,ENSG00000215397.4,SCRT2
ENSP00000502741.1,ENST00000473664.2,ENSG00000101276.19,SLC52A3
ENSP00000494193.1,ENST00000645534.1,ENSG00000101276.19,SLC52A3
ENSP00000371370.3,ENST00000381944.5,ENSG00000101276.19,SLC52A3
ENSP00000217254.7,ENST00000217254.11,ENSG00000101276.19,SLC52A3
ENSP00000494009.1,ENST00000488495.3,ENSG00000101276.19,SLC52A3
ENSP00000501902.1,ENST00000675066.1,ENSG00000101276.19,SLC52A3
ENSP00000501807.1,ENST00000676154.1,ENSG00000101276.19,SLC52A3
ENSP00000502783.1,ENST00000674666.1,ENSG00000101276.19,SLC52A3
ENSP00000371367.3,ENST00000381941.8,ENSG00000125898.14,FAM110A
ENSP00000354163.2,ENST00000304189.6,ENSG00000125898.14,FAM110A
ENSP00000371365.1,ENST00000381939.1,ENSG00000125898.14,FAM110A
ENSP00000246100.3,ENST00000246100.3,ENSG00000125898.14,FAM110A
ENSP00000445228.1,ENST00000541082.2,ENSG00000125898.14,FAM110A
ENSP00000477334.1,ENST00000505691.2,ENSG00000125898.14,FAM110A
ENSP00000371347.3,ENST00000381922.5,ENSG00000101280.9,ANGPT4
ENSP00000217260.4,ENST00000217260.9,ENSG00000101282.10,RSPO4
ENSP00000383475.2,ENST00000400634.2,ENSG00000101282.10,RSPO4
ENSP00000499011.1,ENST00000652336.1,ENSG00000125818.19,PSMF1
ENSP00000327704.3,ENST00000333082.7,ENSG00000125818.19,PSMF1
ENSP00000371324.4,ENST00000381899.8,ENSG00000125818.19,PSMF1
ENSP00000246015.4,ENST00000246015.8,ENSG00000125818.19,PSMF1
ENSP00000338039.6,ENST00000335877.11,ENSG00000125818.19,PSMF1
ENSP00000396547.1,ENST00000435720.5,ENSG00000125818.19,PSMF1
ENSP00000371323.5,ENST00000381898.5,ENSG00000125818.19,PSMF1
ENSP00000371318.3,ENST00000381894.3,ENSG00000125895.7,TMEM74B
ENSP00000400552.2,ENST00000429036.2,ENSG00000125895.7,TMEM74B
ENSP00000383474.2,ENST00000400633.3,ENSG00000215595.3,C20orf202
ENSP00000507397.1,ENST00000683101.1,ENSG00000244588.7,RAD21L1
ENSP00000385925.1,ENST00000402452.5,ENSG00000244588.7,RAD21L1
ENSP00000386414.1,ENST00000409241.5,ENSG00000244588.7,RAD21L1
ENSP00000246108.3,ENST00000246108.3,ENSG00000244588.7,RAD21L1
ENSP00000496966.1,ENST00000649598.1,ENSG00000101298.16,SNPH
ENSP00000371291.1,ENST00000381867.6,ENSG00000101298.16,SNPH
ENSP00000371297.3,ENST00000381873.7,ENSG00000101298.16,SNPH
ENSP00000371233.1,ENST00000381812.5,ENSG00000125775.16,SDCBP2
ENSP00000354013.3,ENST00000360779.4,ENSG00000125775.16,SDCBP2
ENSP00000371229.3,ENST00000381808.7,ENSG00000125775.16,SDCBP2
ENSP00000342935.3,ENST00000339987.7,ENSG00000125775.16,SDCBP2
ENSP00000479180.1,ENST00000617804.1,ENSG00000274322.1,ENSG00000274322
ENSP00000383003.4,ENST00000400137.9,ENSG00000088832.19,FKBP1A
ENSP00000478093.1,ENST00000618612.5,ENSG00000088832.19,FKBP1A
ENSP00000409863.2,ENST00000439640.5,ENSG00000088832.19,FKBP1A
ENSP00000503279.1,ENST00000678136.1,ENSG00000088832.19,FKBP1A
ENSP00000503033.1,ENST00000677335.1,ENSG00000088832.19,FKBP1A
ENSP00000371138.3,ENST00000381719.8,ENSG00000088832.19,FKBP1A
ENSP00000503152.1,ENST00000678408.1,ENSG00000088832.19,FKBP1A
ENSP00000371143.4,ENST00000381724.8,ENSG00000088832.19,FKBP1A
ENSP00000371134.2,ENST00000381715.4,ENSG00000088832.19,FKBP1A
ENSP00000480846.1,ENST00000612074.5,ENSG00000088832.19,FKBP1A
ENSP00000503592.1,ENST00000677533.1,ENSG00000088832.19,FKBP1A
ENSP00000482758.2,ENST00000614856.2,ENSG00000088832.19,FKBP1A
ENSP00000338643.2,ENST00000353088.6,ENSG00000088833.19,NSFL1C
ENSP00000452019.1,ENST00000555944.5,ENSG00000088833.19,NSFL1C
ENSP00000418529.1,ENST00000476071.5,ENSG00000088833.19,NSFL1C
ENSP00000216879.4,ENST00000216879.9,ENSG00000088833.19,NSFL1C
ENSP00000434067.1,ENST00000381653.9,ENSG00000088833.19,NSFL1C
ENSP00000451675.1,ENST00000555568.5,ENSG00000088833.19,NSFL1C
ENSP00000473400.1,ENST00000470376.5,ENSG00000088833.19,NSFL1C
ENSP00000473616.1,ENST00000489203.2,ENSG00000088833.19,NSFL1C
ENSP00000432656.1,ENST00000481731.5,ENSG00000196209.14,SIRPB2
ENSP00000435045.1,ENST00000486775.5,ENSG00000196209.14,SIRPB2
ENSP00000352849.3,ENST00000359801.8,ENSG00000196209.14,SIRPB2
ENSP00000402438.1,ENST00000444444.2,ENSG00000196209.14,SIRPB2
ENSP00000477149.1,ENST00000608073.1,ENSG00000196209.14,SIRPB2
ENSP00000410072.1,ENST00000429387.5,ENSG00000125900.13,SIRPD
ENSP00000371034.1,ENST00000381621.5,ENSG00000125900.13,SIRPD
ENSP00000371036.3,ENST00000381623.4,ENSG00000125900.13,SIRPD
ENSP00000457551.2,ENST00000566961.2,ENSG00000260861.6,ENSG00000260861
ENSP00000454437.1,ENST00000567028.5,ENSG00000260861.6,ENSG00000260861
ENSP00000457944.1,ENST00000564763.1,ENSG00000260861.6,ENSG00000260861
ENSP00000371018.5,ENST00000381605.9,ENSG00000101307.17,SIRPB1
ENSP00000371016.3,ENST00000381603.7,ENSG00000101307.17,SIRPB1
ENSP00000262929.5,ENST00000262929.9,ENSG00000101307.17,SIRPB1
ENSP00000457323.1,ENST00000569629.1,ENSG00000101307.17,SIRPB1
ENSP00000456351.1,ENST00000563840.1,ENSG00000101307.17,SIRPB1
ENSP00000457829.1,ENST00000565076.1,ENSG00000101307.17,SIRPB1
ENSP00000456519.1,ENST00000569387.5,ENSG00000101307.17,SIRPB1
ENSP00000457458.1,ENST00000566055.5,ENSG00000101307.17,SIRPB1
ENSP00000457855.1,ENST00000565087.5,ENSG00000101307.17,SIRPB1
ENSP00000456747.1,ENST00000565230.5,ENSG00000101307.17,SIRPB1
ENSP00000455568.1,ENST00000562014.5,ENSG00000101307.17,SIRPB1
ENSP00000279477.7,ENST00000279477.11,ENSG00000101307.17,SIRPB1
ENSP00000456826.1,ENST00000568365.1,ENSG00000101307.17,SIRPB1
ENSP00000370992.1,ENST00000381580.5,ENSG00000089012.15,SIRPG
ENSP00000342759.4,ENST00000344103.8,ENSG00000089012.15,SIRPG
ENSP00000305529.3,ENST00000303415.7,ENSG00000089012.15,SIRPG
ENSP00000370995.2,ENST00000381583.6,ENSG00000089012.15,SIRPG
ENSP00000216927.4,ENST00000216927.4,ENSG00000089012.15,SIRPG
ENSP00000382941.4,ENST00000400068.7,ENSG00000198053.13,SIRPA
ENSP00000478763.1,ENST00000622179.4,ENSG00000198053.13,SIRPA
ENSP00000348307.3,ENST00000356025.7,ENSG00000198053.13,SIRPA
ENSP00000351621.4,ENST00000358771.5,ENSG00000198053.13,SIRPA
ENSP00000442259.1,ENST00000540134.5,ENSG00000101327.9,PDYN
ENSP00000440185.1,ENST00000539905.5,ENSG00000101327.9,PDYN
ENSP00000217305.2,ENST00000217305.3,ENSG00000101327.9,PDYN
ENSP00000499191.1,ENST00000651328.1,ENSG00000101327.9,PDYN
ENSP00000499095.1,ENST00000650824.1,ENSG00000101327.9,PDYN
ENSP00000498752.1,ENST00000651882.1,ENSG00000101327.9,PDYN
ENSP00000498947.1,ENST00000650937.1,ENSG00000101327.9,PDYN
ENSP00000498453.1,ENST00000651684.1,ENSG00000101327.9,PDYN
ENSP00000498438.1,ENST00000650874.1,ENSG00000101327.9,PDYN
ENSP00000499024.1,ENST00000652436.1,ENSG00000101327.9,PDYN
ENSP00000498776.1,ENST00000651996.1,ENSG00000101327.9,PDYN
ENSP00000370891.3,ENST00000381482.8,ENSG00000125834.14,STK35
ENSP00000426612.1,ENST00000493263.1,ENSG00000125834.14,STK35
ENSP00000498584.1,ENST00000651531.1,ENSG00000286022.1,ENSG00000286022
ENSP00000370867.5,ENST00000381458.6,ENSG00000125780.12,TGM3
ENSP00000202625.2,ENST00000202625.7,ENSG00000166948.10,TGM6
ENSP00000370831.1,ENST00000381423.1,ENSG00000166948.10,TGM6
ENSP00000412566.2,ENST00000438552.6,ENSG00000125835.21,SNRPB
ENSP00000370746.3,ENST00000381342.7,ENSG00000125835.21,SNRPB
ENSP00000474579.1,ENST00000474384.2,ENSG00000125835.21,SNRPB
ENSP00000456213.1,ENST00000461548.1,ENSG00000256566.1,ENSG00000256566
ENSP00000278772.4,ENST00000278772.9,ENSG00000088876.14,ZNF343
ENSP00000483851.1,ENST00000617391.4,ENSG00000088876.14,ZNF343
ENSP00000482819.1,ENST00000612935.4,ENSG00000088876.14,ZNF343
ENSP00000399682.1,ENST00000445484.5,ENSG00000088876.14,ZNF343
ENSP00000370652.1,ENST00000381253.5,ENSG00000088876.14,ZNF343
ENSP00000501144.1,ENST00000674000.1,ENSG00000088876.14,ZNF343
ENSP00000351188.2,ENST00000358413.6,ENSG00000088876.14,ZNF343
ENSP00000416488.1,ENST00000421216.1,ENSG00000088876.14,ZNF343
ENSP00000351732.1,ENST00000358864.2,ENSG00000149488.14,TMC2
ENSP00000495303.1,ENST00000496948.2,ENSG00000149488.14,TMC2
ENSP00000498831.1,ENST00000651302.1,ENSG00000101361.18,NOP56
ENSP00000370589.3,ENST00000329276.10,ENSG00000101361.18,NOP56
ENSP00000388497.1,ENST00000445139.1,ENSG00000101361.18,NOP56
ENSP00000434317.1,ENST00000467196.5,ENSG00000101361.18,NOP56
ENSP00000403199.1,ENST00000415272.2,ENSG00000101361.18,NOP56
ENSP00000487187.1,ENST00000466494.6,ENSG00000101365.23,IDH3B
ENSP00000482773.1,ENST00000474315.5,ENSG00000101365.23,IDH3B
ENSP00000370223.4,ENST00000380843.9,ENSG00000101365.23,IDH3B
ENSP00000485997.1,ENST00000477689.2,ENSG00000101365.23,IDH3B
ENSP00000484922.1,ENST00000613370.1,ENSG00000101365.23,IDH3B
ENSP00000477023.1,ENST00000609451.6,ENSG00000088881.22,EBF4
ENSP00000370022.4,ENST00000380648.9,ENSG00000088881.22,EBF4
ENSP00000405003.3,ENST00000449079.7,ENSG00000088881.22,EBF4
ENSP00000501336.1,ENST00000497450.5,ENSG00000088881.22,EBF4
ENSP00000501409.1,ENST00000469215.2,ENSG00000088881.22,EBF4
ENSP00000501430.1,ENST00000481662.2,ENSG00000088881.22,EBF4
ENSP00000369979.2,ENST00000380605.3,ENSG00000088882.9,CPXM1
ENSP00000369967.4,ENST00000380593.4,ENSG00000241690.3,ENSG00000241690
ENSP00000473907.1,ENST00000603872.2,ENSG00000258713.3,C20orf141
ENSP00000369963.3,ENST00000380589.4,ENSG00000258713.3,C20orf141
ENSP00000354312.1,ENST00000361033.1,ENSG00000198326.10,TMEM239
ENSP00000369959.1,ENST00000380585.2,ENSG00000198326.10,TMEM239
ENSP00000474824.1,ENST00000474714.5,ENSG00000132635.18,PCED1A
ENSP00000353868.2,ENST00000360652.7,ENSG00000132635.18,PCED1A
ENSP00000349334.3,ENST00000356872.7,ENSG00000132635.18,PCED1A
ENSP00000388935.1,ENST00000448755.5,ENSG00000132635.18,PCED1A
ENSP00000401711.1,ENST00000439542.1,ENSG00000132635.18,PCED1A
ENSP00000369836.3,ENST00000380469.7,ENSG00000215305.11,VPS16
ENSP00000369810.3,ENST00000380445.8,ENSG00000215305.11,VPS16
ENSP00000417031.1,ENST00000453689.5,ENSG00000215305.11,VPS16
ENSP00000409840.1,ENST00000417508.1,ENSG00000215305.11,VPS16
ENSP00000414089.1,ENST00000455631.5,ENSG00000132670.22,PTPRA
ENSP00000382787.2,ENST00000399903.7,ENSG00000132670.22,PTPRA
ENSP00000216877.6,ENST00000216877.10,ENSG00000132670.22,PTPRA
ENSP00000390775.1,ENST00000431048.5,ENSG00000132670.22,PTPRA
ENSP00000394132.1,ENST00000430705.5,ENSG00000132670.22,PTPRA
ENSP00000314568.5,ENST00000318266.9,ENSG00000132670.22,PTPRA
ENSP00000348468.3,ENST00000356147.3,ENSG00000132670.22,PTPRA
ENSP00000245983.2,ENST00000245983.6,ENSG00000125787.12,GNRH2
ENSP00000352003.2,ENST00000359100.6,ENSG00000125787.12,GNRH2
ENSP00000369705.2,ENST00000380347.6,ENSG00000125787.12,GNRH2
ENSP00000369704.2,ENST00000380346.2,ENSG00000125787.12,GNRH2
ENSP00000369682.3,ENST00000380325.4,ENSG00000125901.7,MRPS26
ENSP00000217386.2,ENST00000217386.2,ENSG00000101405.3,OXT
ENSP00000369647.3,ENST00000380293.3,ENSG00000101200.5,AVP
ENSP00000217173.2,ENST00000217173.7,ENSG00000185019.18,UBOX5
ENSP00000311726.3,ENST00000348031.6,ENSG00000185019.18,UBOX5
ENSP00000404364.1,ENST00000449731.1,ENSG00000185019.18,UBOX5
ENSP00000369618.3,ENST00000380266.4,ENSG00000215251.5,FASTKD5
ENSP00000510038.1,ENST00000692371.1,ENSG00000215251.5,FASTKD5
ENSP00000510780.1,ENST00000687419.1,ENSG00000215251.5,FASTKD5
ENSP00000510078.1,ENST00000688674.1,ENSG00000215251.5,FASTKD5
ENSP00000332123.3,ENST00000329152.7,ENSG00000088899.17,LZTS3
ENSP00000353496.3,ENST00000360342.7,ENSG00000088899.17,LZTS3
ENSP00000495241.1,ENST00000645462.1,ENSG00000088899.17,LZTS3
ENSP00000338166.6,ENST00000337576.7,ENSG00000088899.17,LZTS3
ENSP00000346483.3,ENST00000354488.8,ENSG00000198171.14,DDRGK1
ENSP00000369548.2,ENST00000380201.2,ENSG00000198171.14,DDRGK1
ENSP00000369456.3,ENST00000380113.8,ENSG00000125877.14,ITPA
ENSP00000413282.1,ENST00000455664.6,ENSG00000125877.14,ITPA
ENSP00000382732.3,ENST00000399838.3,ENSG00000125877.14,ITPA
ENSP00000369396.3,ENST00000380056.7,ENSG00000088836.15,SLC4A11
ENSP00000369399.3,ENST00000380059.7,ENSG00000088836.15,SLC4A11
ENSP00000493503.1,ENST00000642402.1,ENSG00000088836.15,SLC4A11
ENSP00000493824.1,ENST00000644692.1,ENSG00000088836.15,SLC4A11
ENSP00000496214.1,ENST00000644011.1,ENSG00000088836.15,SLC4A11
ENSP00000495050.1,ENST00000647296.1,ENSG00000088836.15,SLC4A11
ENSP00000476859.1,ENST00000474451.5,ENSG00000088836.15,SLC4A11
ENSP00000404271.2,ENST00000437836.2,ENSG00000088836.15,SLC4A11
ENSP00000495635.1,ENST00000645524.1,ENSG00000088836.15,SLC4A11
ENSP00000495559.1,ENST00000644862.1,ENSG00000088836.15,SLC4A11
ENSP00000252032.9,ENST00000252032.10,ENSG00000088854.14,DNAAF9
ENSP00000262919.5,ENST00000262919.10,ENSG00000088812.19,ATRN
ENSP00000416587.2,ENST00000446916.2,ENSG00000088812.19,ATRN
ENSP00000290417.2,ENST00000290417.7,ENSG00000125861.17,GFRA4
ENSP00000313423.3,ENST00000319242.8,ENSG00000125861.17,GFRA4
ENSP00000435801.1,ENST00000477160.1,ENSG00000125861.17,GFRA4
ENSP00000369190.4,ENST00000379861.8,ENSG00000149451.20,ADAM33
ENSP00000322550.5,ENST00000350009.6,ENSG00000149451.20,ADAM33
ENSP00000348912.3,ENST00000356518.7,ENSG00000149451.20,ADAM33
ENSP00000395778.1,ENST00000419548.4,ENSG00000088827.15,SIGLEC1
ENSP00000341141.4,ENST00000344754.6,ENSG00000088827.15,SIGLEC1
ENSP00000516734.1,ENST00000707083.1,ENSG00000088827.15,SIGLEC1
ENSP00000254963.2,ENST00000254963.7,ENSG00000132622.12,HSPA12B
ENSP00000382608.1,ENST00000399701.1,ENSG00000132622.12,HSPA12B
ENSP00000382591.3,ENST00000399683.7,ENSG00000101220.19,ADISSP
ENSP00000217195.8,ENST00000217195.12,ENSG00000101220.19,ADISSP
ENSP00000369097.4,ENST00000379772.4,ENSG00000101220.19,ADISSP
ENSP00000382580.1,ENST00000399672.5,ENSG00000101220.19,ADISSP
ENSP00000369080.3,ENST00000379756.3,ENSG00000101222.13,SPEF1
ENSP00000369075.4,ENST00000379751.5,ENSG00000125817.8,CENPB
ENSP00000339125.6,ENST00000344256.10,ENSG00000101224.19,CDC25B
ENSP00000368918.5,ENST00000379598.9,ENSG00000101224.19,CDC25B
ENSP00000405972.2,ENST00000439880.6,ENSG00000101224.19,CDC25B
ENSP00000245960.5,ENST00000245960.10,ENSG00000101224.19,CDC25B
ENSP00000339170.4,ENST00000340833.4,ENSG00000101224.19,CDC25B
ENSP00000368892.2,ENST00000379573.6,ENSG00000125843.13,AP5S1
ENSP00000368886.2,ENST00000379567.6,ENSG00000125843.13,AP5S1
ENSP00000481750.1,ENST00000615891.2,ENSG00000125843.13,AP5S1
ENSP00000413749.2,ENST00000416600.6,ENSG00000088888.19,MAVS
ENSP00000401980.2,ENST00000428216.4,ENSG00000088888.19,MAVS
ENSP00000417609.1,ENST00000497424.5,ENSG00000125779.24,PANK2
ENSP00000313377.4,ENST00000316562.9,ENSG00000125779.24,PANK2
ENSP00000476745.1,ENST00000495692.5,ENSG00000125779.24,PANK2
ENSP00000495157.2,ENST00000643504.2,ENSG00000125779.24,PANK2
ENSP00000477429.2,ENST00000610179.7,ENSG00000125779.24,PANK2
ENSP00000477229.2,ENST00000336066.8,ENSG00000125779.24,PANK2
ENSP00000496112.1,ENST00000646394.1,ENSG00000125779.24,PANK2
ENSP00000481523.1,ENST00000621507.1,ENSG00000125779.24,PANK2
ENSP00000336753.5,ENST00000336095.10,ENSG00000101236.18,RNF24
ENSP00000351166.6,ENST00000358395.11,ENSG00000101236.18,RNF24
ENSP00000388550.2,ENST00000432261.6,ENSG00000101236.18,RNF24
ENSP00000444711.1,ENST00000545616.2,ENSG00000101236.18,RNF24
ENSP00000478305.1,ENST00000621355.4,ENSG00000088826.19,SMOX
ENSP00000278795.3,ENST00000278795.7,ENSG00000088826.19,SMOX
ENSP00000344595.6,ENST00000339123.10,ENSG00000088826.19,SMOX
ENSP00000307252.4,ENST00000305958.9,ENSG00000088826.19,SMOX
ENSP00000341775.2,ENST00000346595.6,ENSG00000088826.19,SMOX
ENSP00000368773.2,ENST00000379460.6,ENSG00000088826.19,SMOX
ENSP00000407269.1,ENST00000457205.1,ENSG00000088826.19,SMOX
ENSP00000368766.4,ENST00000379453.6,ENSG00000171873.8,ADRA1D
ENSP00000399376.2,ENST00000430350.2,ENSG00000171867.19,PRNP
ENSP00000368752.4,ENST00000379440.9,ENSG00000171867.19,PRNP
ENSP00000411599.2,ENST00000424424.2,ENSG00000171867.19,PRNP
ENSP00000415284.2,ENST00000457586.2,ENSG00000171867.19,PRNP
ENSP00000306900.2,ENST00000305817.3,ENSG00000171864.5,PRND
ENSP00000368710.3,ENST00000379400.8,ENSG00000101265.17,RASSF2
ENSP00000368684.2,ENST00000379376.2,ENSG00000101265.17,RASSF2
ENSP00000368637.1,ENST00000379333.5,ENSG00000089057.16,SLC23A2
ENSP00000344322.1,ENST00000338244.6,ENSG00000089057.16,SLC23A2
ENSP00000396364.1,ENST00000423430.1,ENSG00000089057.16,SLC23A2
ENSP00000478112.1,ENST00000615008.4,ENSG00000089063.17,TMEM230
ENSP00000478641.1,ENST00000612323.4,ENSG00000089063.17,TMEM230
ENSP00000368588.2,ENST00000379286.6,ENSG00000089063.17,TMEM230
ENSP00000368601.2,ENST00000379299.6,ENSG00000089063.17,TMEM230
ENSP00000368581.2,ENST00000379279.6,ENSG00000089063.17,TMEM230
ENSP00000368585.2,ENST00000379283.6,ENSG00000089063.17,TMEM230
ENSP00000368578.4,ENST00000379276.4,ENSG00000089063.17,TMEM230
ENSP00000368438.5,ENST00000379143.10,ENSG00000132646.12,PCNA
ENSP00000368458.3,ENST00000379160.3,ENSG00000132646.12,PCNA
ENSP00000403205.1,ENST00000450570.1,ENSG00000101290.15,CDS2
ENSP00000419879.1,ENST00000460006.6,ENSG00000101290.15,CDS2
ENSP00000504128.1,ENST00000678254.1,ENSG00000101292.8,PROKR2
ENSP00000217270.3,ENST00000217270.4,ENSG00000101292.8,PROKR2
ENSP00000503366.1,ENST00000678059.1,ENSG00000101292.8,PROKR2
ENSP00000396720.1,ENST00000418646.5,ENSG00000125772.16,GPCPD1
ENSP00000368305.4,ENST00000379019.7,ENSG00000125772.16,GPCPD1
ENSP00000487616.1,ENST00000633552.1,ENSG00000125772.16,GPCPD1
ENSP00000488635.1,ENST00000481690.2,ENSG00000125772.16,GPCPD1
